puzzle_id,length,targeted_time,targeted_memory,uniform_time,uniform_memory,both_time,both_memory
61,67,0.011544444444444446,0.142724,0.01843611111111111,0.373428,0.02998055555555556,0.373428,
59,68,0.04861111111111111,1.149916,0.0738611111111111,1.52282,0.12247222222222222,1.52282,
72,73,0.03766666666666667,1.0418,0.07555555555555556,1.743992,0.11322222222222222,1.743992,
75,75,0.015141666666666666,0.70226,0.03383333333333333,1.46624,0.048975,1.46624,
52,80,0.014597222222222222,0.405816,0.028694444444444443,1.259248,0.043291666666666666,1.259248,
95,82,0.058777777777777776,0.744688,0.10586111111111111,1.438796,0.1646388888888889,1.438796,
43,85,0.05277777777777778,1.055248,0.07186111111111111,1.614552,0.12463888888888888,1.614552,
71,88,0.020638888888888887,0.53692,0.041944444444444444,1.21866,0.06258333333333334,1.21866,
54,92,0.12483333333333332,1.537672,0.16747222222222222,1.926412,0.29230555555555554,1.926412,
34,96,0.04816666666666667,1.029576,0.08358333333333333,1.816304,0.13174999999999998,1.816304,
46,97,0.07963888888888888,0.99664,0.1603888888888889,1.784616,0.24002777777777776,1.784616,
87,97,0.025325,0.611596,0.07,1.726308,0.09532500000000001,1.726308,
89,97,0.05197222222222222,1.299548,0.08041666666666666,1.715704,0.1323888888888889,1.715704,
14,98,0.022027777777777778,0.4974,0.0555,1.618928,0.07752777777777778,1.618928,
92,100,0.029055555555555553,0.377332,0.07138888888888889,0.976108,0.10044444444444445,0.976108,
5,101,0.15133333333333332,1.834976,0.178,1.687804,0.3293333333333333,1.834976,
49,101,0.06608333333333334,1.109712,0.1175,1.732304,0.18358333333333332,1.732304,
79,101,0.05552777777777778,1.102176,0.107,1.839436,0.16252777777777777,1.839436,
31,102,0.09777777777777778,1.080864,0.18763888888888888,1.64558,0.28541666666666665,1.64558,
48,102,0.08422222222222221,1.109524,0.13116666666666665,1.794772,0.21538888888888888,1.794772,
55,102,0.07008333333333333,1.118332,0.14194444444444446,1.840224,0.21202777777777776,1.840224,
37,103,0.06416666666666666,1.01364,0.12880555555555556,1.743912,0.19297222222222224,1.743912,
19,104,0.06613888888888889,1.249952,0.11416666666666667,1.755216,0.18030555555555555,1.755216,
24,104,0.09147222222222222,1.72084,0.13824999999999998,1.907132,0.22972222222222222,1.907132,
84,104,0.07375,1.141696,0.13077777777777777,1.94366,0.20452777777777775,1.94366,
16,105,0.029083333333333333,0.6577,0.06625,1.85016,0.09533333333333333,1.85016,
17,105,0.02465,0.627952,0.0628888888888889,1.9067,0.08753888888888889,1.9067,
21,105,0.11649999999999999,1.608216,0.19427777777777777,2.030256,0.31077777777777776,2.030256,
29,105,0.10836111111111112,1.695716,0.1825277777777778,2.040052,0.2908888888888889,2.040052,
50,105,0.03627777777777778,0.599572,0.09133333333333334,1.570104,0.1276111111111111,1.570104,
60,105,0.1411388888888889,1.919564,0.1895,2.022648,0.3306388888888889,2.022648,
77,105,0.06913888888888889,1.158512,0.16744444444444442,2.037752,0.2365833333333333,2.037752,
64,110,0.02875,0.872084,0.07036111111111111,1.774408,0.09911111111111111,1.774408,
58,111,0.1211388888888889,1.18716,0.18863888888888888,1.982252,0.30977777777777776,1.982252,
2,116,0.21405555555555555,1.684436,0.31333333333333335,2.0818,0.5273888888888889,2.0818,
42,116,0.09347222222222222,1.053024,0.18486111111111111,1.825688,0.2783333333333333,1.825688,
93,116,0.17311111111111113,1.899264,0.21769444444444447,2.037884,0.3908055555555556,2.037884,
83,119,0.06394444444444444,0.5602,0.14691666666666667,1.472308,0.21086111111111108,1.472308,
32,122,0.111,2.140008,0.19597222222222221,2.546224,0.3069722222222222,2.546224,
35,123,0.07969444444444444,0.736104,0.17933333333333334,1.64854,0.2590277777777778,1.64854,
36,151,0.24061111111111114,2.269316,0.41444444444444445,2.52746,0.6550555555555555,2.52746,
39,174,1.1633333333333333,2.921912,1.275,2.954132,2.4383333333333335,2.954132,
70,184,0.9208333333333333,3.012108,1.5352777777777777,3.117,2.456111111111111,3.117,
4,192,1.0797222222222222,2.790196,1.5680555555555555,3.131676,2.647777777777778,3.131676,
69,200,0.6566666666666666,3.133356,1.0863888888888888,3.198512,1.7430555555555556,3.198512,
98,202,0.8605555555555555,2.754192,1.363611111111111,3.212964,2.2241666666666666,3.212964,
81,212,1.565,3.132948,1.8477777777777777,3.193264,3.412777777777778,3.193264,
12,213,1.2155555555555555,2.76942,2.3216666666666668,3.225392,3.5372222222222223,3.225392,
82,214,2.1327777777777777,3.258156,2.1152777777777776,3.24378,4.248055555555555,3.258156,
9,258,1.736388888888889,3.56252,2.575,3.664748,4.311388888888889,3.664748,
68,282,2.875,4.057668,3.011111111111111,4.07842,5.886111111111111,4.07842,
7,284,1.48,3.995916,2.2144444444444447,4.058644,3.6944444444444446,4.058644,
78,284,1.7577777777777779,3.93278,2.370833333333333,4.037144,4.128611111111111,4.037144,
38,316,1.6630555555555555,4.374336,2.5902777777777777,4.436864,4.253333333333333,4.436864,
51,337,3.1972222222222224,4.688868,3.8722222222222222,4.739468,7.069444444444445,4.739468,
86,355,2.911111111111111,4.851828,4.461111111111111,4.882148,7.372222222222222,4.882148,
96,358,2.656111111111111,4.79486,5.177777777777778,4.928084,7.833888888888889,4.928084,
99,364,4.222222222222222,5.074248,5.269444444444445,5.110272,9.491666666666667,5.110272,
73,370,4.455555555555556,5.112912,5.472222222222222,5.149592,9.927777777777777,5.149592,
28,378,3.2888888888888888,5.237316,4.888888888888889,5.325856,8.177777777777777,5.325856,
6,379,3.466666666666667,5.240368,5.272222222222222,5.344556,8.738888888888889,5.344556,
74,380,3.9944444444444445,5.232628,5.266666666666667,5.313596,9.261111111111111,5.313596,
100,382,1.4755555555555555,5.174956,4.083333333333333,5.230936,5.558888888888889,5.230936,
56,387,5.608333333333333,5.37422,6.636111111111111,5.439844,12.244444444444444,5.439844,
85,389,3.2472222222222222,5.220912,5.072222222222222,5.293124,8.319444444444445,5.293124,
94,389,4.544444444444444,5.320148,5.769444444444445,5.375996,10.313888888888888,5.375996,
91,392,2.736388888888889,5.35894,5.141666666666667,5.453872,7.878055555555555,5.453872,
76,393,4.277777777777778,5.434296,6.016666666666667,5.5127,10.294444444444444,5.5127,
80,397,4.088888888888889,5.44952,5.941666666666666,5.537728,10.030555555555555,5.537728,
90,400,5.588888888888889,5.535504,7.311111111111111,5.60252,12.9,5.60252,
22,400,0.3811111111111111,5.09846,2.546388888888889,5.3935,2.9275,5.3935,
97,400,3.5055555555555555,5.438156,5.463888888888889,5.542044,8.969444444444445,5.542044,
63,400,3.9305555555555554,5.47708,5.141666666666667,5.536416,9.072222222222223,5.536416,
53,400,1.5297222222222222,5.41026,4.075,5.394712,5.604722222222223,5.41026,
